NAICS2022_LABEL,EMP,NAME,GEO_ID,NAICS2022,us
Breakfast Cereal Manufacturing,12141,United States,0100000US,31123,1
Breakfast Cereal Manufacturing,12141,United States,0100000US,311230,1
Sugar and Confectionery Product Manufacturing,85839,United States,0100000US,3113,1
Sugar Manufacturing,14111,United States,0100000US,31131,1
Beet Sugar Manufacturing,7067,United States,0100000US,311313,1
Cane Sugar Manufacturing,7044,United States,0100000US,311314,1
Nonchocolate Confectionery Manufacturing,28650,United States,0100000US,31134,1
Nonchocolate Confectionery Manufacturing,28650,United States,0100000US,311340,1
Chocolate and Confectionery Manufacturing,43078,United States,0100000US,31135,1
Chocolate and Confectionery Manufacturing from Cacao Beans,9054,United States,0100000US,311351,1
Confectionery Manufacturing from Purchased Chocolate,34024,United States,0100000US,311352,1
Fruit and Vegetable Preserving and Specialty Food Manufacturing,168904,United States,0100000US,3114,1
Frozen Food Manufacturing,95157,United States,0100000US,31141,1
"Frozen Fruit, Juice, and Vegetable Manufacturing",29073,United States,0100000US,311411,1
Frozen Specialty Food Manufacturing,66084,United States,0100000US,311412,1
"Fruit and Vegetable Canning, Pickling, and Drying",73747,United States,0100000US,31142,1
Fruit and Vegetable Canning,44356,United States,0100000US,311421,1
Specialty Canning,12146,United States,0100000US,311422,1
Dried and Dehydrated Food Manufacturing,17245,United States,0100000US,311423,1
Dairy Product Manufacturing,162368,United States,0100000US,3115,1
Dairy Product (except Frozen) Manufacturing,139329,United States,0100000US,31151,1
Fluid Milk Manufacturing,59498,United States,0100000US,311511,1
Creamery Butter Manufacturing,3656,United States,0100000US,311512,1
Cheese Manufacturing,58670,United States,0100000US,311513,1
"Dry, Condensed, and Evaporated Dairy Product Manufacturing",17505,United States,0100000US,311514,1
Ice Cream and Frozen Dessert Manufacturing,23039,United States,0100000US,31152,1
Ice Cream and Frozen Dessert Manufacturing,23039,United States,0100000US,311520,1
Animal Slaughtering and Processing,535134,United States,0100000US,3116,1
Animal Slaughtering and Processing,535134,United States,0100000US,31161,1
Animal (except Poultry) Slaughtering,152843,United States,0100000US,311611,1
Meat Processed from Carcasses,140850,United States,0100000US,311612,1
Rendering and Meat Byproduct Processing,11201,United States,0100000US,311613,1
Poultry Processing,230240,United States,0100000US,311615,1
Seafood Product Preparation and Packaging,31202,United States,0100000US,3117,1
Seafood Product Preparation and Packaging,31202,United States,0100000US,31171,1
Seafood Product Preparation and Packaging,31202,United States,0100000US,311710,1
Bakeries and Tortilla Manufacturing,294416,United States,0100000US,3118,1
Bread and Bakery Product Manufacturing,219001,United States,0100000US,31181,1
Retail Bakeries,77170,United States,0100000US,311811,1
Commercial Bakeries,116608,United States,0100000US,311812,1
"Frozen Cakes, Pies, and Other Pastries Manufacturing",25223,United States,0100000US,311813,1
"Cookie, Cracker, and Pasta Manufacturing",55647,United States,0100000US,31182,1
Cookie and Cracker Manufacturing,32585,United States,0100000US,311821,1
"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",23062,United States,0100000US,311824,1
